Date,Game #,Game Type,Player, Net 
4/16/2026,9,PLO,Ww, $ (815.00)
4/16/2026,9,PLO,Shiv," $ (1,500.00)"
4/16/2026,9,PLO,Rach," $ (1,550.00)"
4/16/2026,10,PLO,Egg, $ 232.40 
4/16/2026,10,PLO,bigslickenergy, $ 152.49 
4/16/2026,10,PLO,Ena, $ (39.86)
4/16/2026,10,PLO,SamZ, $ (42.80)
4/16/2026,10,PLO,Ww, $ (83.98)
4/16/2026,10,PLO,Young, $ (218.25)
4/17/2026,11,NL,GB, $ 526.15 
4/17/2026,11,NL,Young, $ 488.82 
4/17/2026,11,NL,Hu, $ 276.43 
4/17/2026,11,NL,bigslickenergy, $ 227.56 
4/17/2026,11,NL,Rach, $ 139.00 
4/17/2026,11,NL,YN, $ 37.12 
4/17/2026,11,NL,HY, $ 11.16 
4/17/2026,11,NL,Mc, $ 10.99 
4/17/2026,11,NL,JZ, $ 6.70 
4/17/2026,11,NL,Zheng, $ (46.75)
4/17/2026,11,NL,Ena, $ (107.48)
4/17/2026,11,NL,Sanjay, $ (200.00)
4/17/2026,11,NL,Draco, $ (200.00)
4/17/2026,11,NL,SamC, $ (300.00)
4/17/2026,11,NL,Tarek, $ (301.75)
4/17/2026,11,NL,Shiv, $ (567.95)
4/17/2026,12,PLO,Hu, $ 184.76 
4/17/2026,12,PLO,Zheng, $ 154.71 
4/17/2026,12,PLO,Ww, $ 66.81 
4/17/2026,12,PLO,bigslickenergy, $ 55.48 
4/17/2026,12,PLO,SamC, $ 35.06 
4/17/2026,12,PLO,Egg, $ (23.57)
4/17/2026,12,PLO,GB, $ (27.52)
4/17/2026,12,PLO,Ena, $ (79.01)
4/17/2026,12,PLO,JZ, $ (84.18)
4/17/2026,12,PLO,Young, $ (282.54)
4/17/2026,13,PLO,Andrew," $ 2,336.76 "
4/17/2026,13,PLO,Hiro," $ 2,277.75 "
4/17/2026,13,PLO,Tarek," $ 1,598.88 "
4/17/2026,13,PLO,Egg," $ 1,573.49 "
4/17/2026,13,PLO,PaulB," $ 1,048.00 "
4/17/2026,13,PLO,Lucki, $ 497.37 
4/17/2026,13,PLO,YN, $ 422.63 
4/17/2026,13,PLO,Shiv, $ 372.50 
4/17/2026,13,PLO,Ena, $ 249.75 
4/17/2026,13,PLO,JJ, $ 201.50 
4/17/2026,13,PLO,Hu, $ 115.50 
4/17/2026,13,PLO,KQ, $ 2.25 
4/17/2026,13,PLO,Ww, $ (9.79)
4/17/2026,13,PLO,Mikul, $ (140.00)
4/17/2026,13,PLO,AHH," $ (1,378.75)"
4/17/2026,13,PLO,Sanjay," $ (1,450.00)"
4/17/2026,13,PLO,Rach," $ (1,873.51)"
4/17/2026,13,PLO,RichardZ," $ (2,844.33)"
4/17/2026,13,PLO,SamC," $ (3,000.00)"
4/18/2026,14,NL,JZ, $ 268.00 
4/18/2026,14,NL,Young, $ 80.75 
4/18/2026,14,NL,Shiv, $ 33.36 
4/18/2026,14,NL,HY, $ 18.23 
4/18/2026,14,NL,bigslickenergy, $ 8.50 
4/18/2026,14,NL,GB, $ (3.44)
4/18/2026,14,NL,Heezy, $ (100.00)
4/18/2026,14,NL,Rach, $ (150.00)
4/18/2026,14,NL,Uz, $ (155.40)
4/18/2026,15,PLO,Uz, $ 629.13 
4/18/2026,15,PLO,Young, $ 153.13 
4/18/2026,15,PLO,bigslickenergy, $ 86.36 
4/18/2026,15,PLO,JJ, $ 28.63 
4/18/2026,15,PLO,Ww, $ 0.03 
4/18/2026,15,PLO,JZ, $ (66.51)
4/18/2026,15,PLO,SamC, $ (150.00)
4/18/2026,15,PLO,Colin, $ (180.77)
